Content,Date Published,COM+,SHR,LDR,DIS,LIK,SUBL,SUBG,RETV,NEWV,AVV,UQV,APV,AVD,AVDS,VIEWS,WT,SUBG,IMP,CTR
MCAT Study 131,8/10/2024,0,0,100,0,1,0,0,0,0,0,0,5.42,0:08:21,501,67,9.3347,0,2131,1.92
MCAT Study 132,8/10/2024,0,0,0,0,0,0,0,0,0,0,0,2,0:02:02,122,56,1.9059,0,2241,1.96
MCAT Study 133,8/10/2024,0,0,0,0,0,0,0,0,0,0,0,0.58,0:00:32,32,49,0.4454,0,2254,1.64
MCAT Study 134,8/10/2024,0,0,100,0,1,0,0,0,0,0,0,4.18,0:04:14,254,35,2.4731,0,2258,1.02
MCAT Study 135,8/10/2024,0,0,0,0,0,0,0,0,0,0,0,0.58,0:00:24,24,65,0.4361,0,2416,1.78
MCAT Study 136,8/10/2024,0,0,0,0,0,0,1,0,0,0,0,1.98,0:01:51,111,39,1.2115,1,2660,0.94
MCAT Study 137,8/10/2024,1,0,0,0,0,0,0,0,0,0,0,0.53,0:01:24,84,78,1.8383,0,3016,1.96
MCAT Study 138,8/10/2024,3,0,50,1,1,0,0,0,0,0,0,0.72,0:01:27,87,189,4.5991,0,3798,3.55
MCAT Study 139,8/12/2024,0,0,0,0,0,0,0,0,0,0,0,0.39,0:00:42,42,77,0.9163,0,3026,1.62
MCAT Study 140,8/12/2024,2,0,100,0,15,0,8,0,0,0,0,0.35,0:01:30,90,760,19.0888,8,12992,4.19
MCAT Study 141,8/14/2024,2,0,100,0,15,0,8,0,0,0,0,0.35,0:01:30,90,760,19.0888,8,12992,4.19
MCAT Study 142,8/14/2024,1,0,0,0,0,0,0,0,0,0,0,1.14,0:01:12,72,141,2.8382,0,4079,2.45
MCAT Study 143,8/14/2024,0,0,0,0,0,0,0,0,0,0,0,0.9,0:00:34,34,84,0.8139,0,4746,1.31
MCAT Study 144,8/14/2024,0,0,100,0,1,1,0,0,0,0,0,2.54,0:02:45,165,90,4.1321,-1,5526,1.01
MCAT Study 145,8/14/2024,0,1,100,0,3,0,0,0,0,0,0,1.44,0:02:24,144,276,11.0677,0,6763,2.78
MCAT Study 146,8/15/2024,8,1,92.31,1,12,2,5,0,0,0,0,1.16,0:02:37,157,1213,52.9938,3,9141,8.77
MCAT FL1 Score Reaction,6/3/2024,42,8,98.63,1,72,1,33,0,0,0,0,10.81,0:01:33,93,3832,99.0845,32,31337,8.69
MCAT FL2 Score Reaction,7/21/2024,16,2,95.65,1,22,3,8,0,0,0,0,11.15,0:01:19,79,1840,40.5022,5,16408,7.9
MCAT FL3 Score Reaction,8/12/2024,8,2,96.77,1,30,0,9,0,0,0,0,8.15,0:01:20,80,1727,38.4428,9,13273,9.07
MCAT Exam Day Reaction,9/24/2024,1,0,80,1,4,0,0,0,0,0,0,3.54,0:01:56,116,587,19.0477,0,5512,7.22
MCAT Score Reaction,9/24/2024,11,3,97.22,1,35,1,4,0,0,0,0,5.88,0:02:04,124,2350,81.162,3,12975,12.67
